Desktop_Software_Build_Version,1.7
Site_Name,,LJ
Site_Number,,TP4
Local_Start_Time,,2023-04-27 16:26:18
Local_End_Time,,2023-04-27 16:35:47
Local_Time_UTC_Offset_Hours,Hours,-7.0000
Operator,,NH
Handheld_Serial_Number,,FT2H2048019
Handheld_Software_Version,,1.6.4
Wading Rod,,TopSetting
Handheld_Units_System,,Metric
Number_Of_Probes,,1
ADV_Serial_Number,,FT2P2049020
ADV_Firmware_Version,,1.30
ADV_Number_Of_Beams,,3
Comment,,
Calculations_Engine,,FlowTracker2
Number_Of_Stations,,2
Discharge_Equation,,None
Rated_Discharge,m³/s,NaN
Rated_Height,m³/s,NaN
Minimum_Boundary_Status,,Undefined
Total_Width,m,NaN
Total_Area,m²,NaN
Total_Discharge,m³/s,NaN
Mean_Depth,m,0.26
Mean_Velocity_Vx,m/s,1.18
Mean_Velocity_Vy,m/s,-0.061
Mean_Velocity_Vz,m/s,-0.639
Mean_SNR,dB,50.973
Mean_VxErr,m/s,0.023
Mean_VyErr,m/s,0.008
Mean_VzErr,m/s,0.037
Mean_Temp,°C,7.591

Quality_Control_Checks
Station_Spacing,,Pass
Station_Order,,Pass
Water_Depth,,Pass
Boundary_Interference,,Pass
Fractional_Depth,,Pass
Low_SNR,,Pass
Approaching_Low_SNR,,Pass
Beam_SNRs_Similar,,Pass
Large_SNR_Variation,,Pass
SNR_Threshold_Variation,,Pass
Velocity_Standard_Error,,Pass
Percent_Of_Spikes,,Pass
Velocity_Angle,,Pass
Rod_Angle,,Pass
Station_Discharge,,Pass
End_Edge_Location,,Pass
Noise_Level,,Pass
Peak_Location,,Pass
Peak_Shape,,Pass
Pre_Calculation_Validation,,Pass

Discharge_Uncertainty_ISO
Overall,%,NaN
Accuracy,%,NaN
Depth,%,NaN
Velocity,%,NaN
Width,%,NaN
Method,%,NaN
#_Stations,%,NaN

Discharge_Uncertainty_IVE
Overall,%,NaN
Accuracy,%,NaN
Depth,%,NaN
Velocity,%,NaN
Width,%,NaN

Supplemental_Data,#,0

Automated_Beam_Check,#,0
Record_Number,Date_And_Time,Noise_Level_Check,SNR_Check,Peak_Location_Check,Peak_Shape_Check

St,Clock,GPSLat,GPSLon,Loc,LocY,FinalD,IceD,WsIceD,WsSlushD,%Dep,MeasD,Npts,Spike,VelX,VelY,VelZ,Angle,VxErr,VyErr,VzErr,SNR1,SNR2,SNR3,Bnd,Temp,Tilt,CorrFact,MeanV,Area,Flow,%Q
(#),(),(deg N),(deg E),(m),(m),(m),(m),(m),(m),(),(m),(#),(#),(m/s),(m/s),(m/s),(deg),(m/s),(m/s),(m/s),(dB),(dB),(dB),(),(°C),(deg),(),(m/s),(m²),(m³/s),(%)
000,16:28:04,NaN,NaN,0,0,0.26,NaN,NaN,NaN,1,0.26,80,2,1.147,-0.235,-0.551,-11.561,0.023,0.01,0.039,51.737,50.412,51.584,Best,7.61,1.573,1.00,NaN,NaN,NaN,NaN
001,16:31:45,NaN,NaN,0,0,0.26,NaN,NaN,NaN,0.577,0.15,80,2,1.212,0.113,-0.726,5.333,0.023,0.006,0.035,51.068,50.053,50.987,Best,7.571,2.01,1.00,NaN,NaN,NaN,NaN
