UP24,0.0008,5.333,65.03,2023-04-22 15:30:00,57.56,0.000243224,0.000243224,0.000260598,0.000277971,0.000312717,0.000364837,0.000469076,0.000660181,0.000955525,0.001198749,0.0014246,0.001893676,0.002032662,0.002588603,0.002918694,0.003596247,0.004447533,0.005385685,0.006514941,0.007991661,0.009815844,0.011865879,0.014993051,0.019423211,0.025747047,0.034885337,0.046473245,0.05628909,0.064471855,0.074843641,0.082123002,0.084068798,0.084781098,0.079603892,0.069318972,0.0595205,0.046177901,0.034642113,0.023245309,0.014923558,0.008773454,0.005055594,0.00295344,0.002171647,8.084026666666666,0.0825077895721872,0.2836,9.912716266666665,0.034188273766,0.635772176422,4.482091867748999,0.16908834331800002,0.14404095730238506
UP25,0.0012,8.0,59.21,2023-04-22 20:30:00,63.53,0.000236109,0.000236109,0.00026759,0.000299071,0.000346293,0.000393515,0.000503699,0.000739808,0.001164804,0.0015898,0.002062018,0.002880529,0.003368487,0.004328664,0.004974028,0.006044388,0.00714623,0.008185109,0.009239729,0.010687864,0.012466551,0.014371163,0.017314654,0.02142295,0.027498819,0.03650244,0.04841807,0.058775382,0.067432709,0.078120573,0.085534393,0.087344562,0.085471431,0.075885408,0.062505903,0.050543051,0.037179285,0.026759011,0.017235952,0.010861011,0.006311979,0.003620337,0.002172202,0.001699984,8.107553333333334,0.0843700680198312,0.2847,9.937147333333334,0.062710528,1.1994333199999998,6.54166536,0.183724232,0.1876685106096081
UP30,0.0013,8.667,69.81,2023-04-24 02:00:00,66.59,6.01e-05,7.51e-05,0.000105121,0.000135155,0.000195225,0.000270311,0.00033038,0.000435501,0.000675777,0.000840967,0.001006157,0.00132152,0.001501727,0.001847124,0.002027331,0.002387746,0.002823247,0.003318817,0.003829404,0.004445112,0.005256044,0.006412374,0.008890224,0.013981078,0.022480853,0.033263253,0.04257396,0.051329028,0.062066376,0.074891125,0.092731641,0.096636132,0.097732392,0.093527557,0.072413275,0.057996696,0.039570506,0.029448866,0.020979126,0.015152425,0.011458177,0.009025379,0.007328428,0.007223307,6.0986,0.1004512950590154,0.2928,7.851839466666666,0.035792924598,0.697889382867,7.498341139310999,0.3723725328029999,0.09321674476158905
UP33,0.0024,15.0,48.05,2023-04-24 17:00:00,27.12,0.000589971,0.000663717,0.000737463,0.000884956,0.001106195,0.001327434,0.001622419,0.002249263,0.00350295,0.004646018,0.005899705,0.007522124,0.00899705,0.010840708,0.012868732,0.015671091,0.018731563,0.021349558,0.023193215,0.025184366,0.02699115,0.028244838,0.030530973,0.033148968,0.036135693,0.039159292,0.041666667,0.041887906,0.040707965,0.039417404,0.036910029,0.033923304,0.030825959,0.027654867,0.024963127,0.024225664,0.02359882,0.025036873,0.027617994,0.033259587,0.042441003,0.050811209,0.050516224,0.042809735,11.095806666666666,0.1226018046119959,0.3024,13.038916666666667,0.348451365,4.491150435000001,6.863938065000001,2.655420345,0.5083957963927529
UP34,0.001,7.143,25.35,2023-04-24 22:00:00,14.59,0.001028101,0.001165182,0.001370802,0.001713502,0.002124743,0.002604524,0.003015764,0.004043866,0.006168609,0.007813571,0.009527073,0.011446196,0.013228239,0.015078821,0.017751885,0.02138451,0.025428376,0.029472241,0.033173406,0.037971213,0.04276902,0.045990404,0.048732008,0.048457848,0.047087046,0.046538725,0.048457848,0.05023989,0.050651131,0.049485949,0.046333105,0.044893763,0.039067855,0.034132968,0.030089102,0.025496916,0.022892392,0.015490062,0.009389993,0.005346127,0.002330363,0.000822481,0.00020562,0,7.460773333333334,0.1226018046119959,0.3024,9.265761653333332,0.289832489391,3.128428374459,3.6654997299569994,0.062176893512999994,0.9169950103311342
UP48,0.001,6.667,47.98,2023-04-28 16:00:00,74.69,0.000107109,0.000107109,0.000133887,0.000160664,0.00020083,0.000240996,0.000267773,0.000348106,0.000522158,0.000656045,0.00080332,0.000963984,0.001071094,0.001218369,0.001392422,0.001673584,0.002102022,0.002784844,0.003882715,0.005623243,0.008448253,0.012545187,0.018221984,0.023925559,0.028772259,0.034100951,0.042174321,0.053246753,0.067492302,0.082420672,0.094698085,0.102490293,0.098420137,0.086169501,0.068041237,0.049738921,0.03511849,0.023938948,0.015704914,0.010536886,0.006921944,0.004819922,0.003748828,0.004029991,8.012413333333333,0.0762630026987008,0.28,9.838444733333334,0.023654495999000002,0.7508743351730001,5.691988085174999,0.17352587586,0.13204790514816722
UP56,0.0019,12.667,79.88,2023-04-30 13:00:00,43.66,0.000137426,0.00016033,0.000229043,0.000297755,0.000435181,0.000572607,0.000710032,0.00091617,0.001351351,0.001740724,0.002153,0.003000458,0.003618873,0.004970224,0.006252863,0.008337151,0.01053596,0.012047641,0.01252863,0.01316995,0.013994503,0.014796152,0.016491067,0.018323408,0.020705451,0.023408154,0.026729272,0.031630783,0.040242785,0.048694457,0.058268438,0.070797068,0.077530921,0.08575355,0.082020156,0.070774164,0.058772332,0.04644984,0.03499771,0.026202474,0.019812185,0.014841961,0.009825928,0.005771874,7.71868,0.0941396326770397,0.2897,9.533501600000001,0.11024874187299999,2.011169116777,9.577134003209999,0.8953358355159999,0.20257092083523967
UP57,0.0063,45.0,53.17,2023-04-30 18:00:00,85.5,0.000549708,0.000608187,0.000701754,0.000842105,0.00102924,0.00122807,0.001497076,0.002070175,0.003181287,0.004187135,0.005192982,0.006409357,0.007578947,0.008736842,0.010152047,0.011964912,0.014023392,0.016105263,0.018070175,0.020385965,0.022725146,0.02451462,0.026830409,0.029052632,0.031789474,0.035684211,0.041438596,0.04671345,0.051497076,0.057239766,0.061076023,0.064584795,0.063602339,0.059204678,0.052421053,0.045099415,0.037707602,0.030175439,0.023169591,0.018538012,0.014421053,0.011426901,0.008853801,0.007707602,37.76384,0.1176298770865951,0.3004,40.720068000000005,0.9489473549999999,11.175263145,30.132631530000005,2.395789515,0.3727266836354368
UP62,0.003,20.0,87.02,2023-05-01 20:00:00,64.14,0.000249454,0.000296227,0.000343,0.000436545,0.000561272,0.00070159,0.000841908,0.001075772,0.001527908,0.001855316,0.002182725,0.002775179,0.003227315,0.003991269,0.004755223,0.005799813,0.00696913,0.007966947,0.008652947,0.009463673,0.010352354,0.011225444,0.012846897,0.015076395,0.018194574,0.022528843,0.028157156,0.033863424,0.040333645,0.049095728,0.058309947,0.066666667,0.074103524,0.077782975,0.075771749,0.072450889,0.063797942,0.054443405,0.043155597,0.03397256,0.02613034,0.020252572,0.015357031,0.012472716,18.24352,0.135740176803963,0.3074,20.458221333333334,0.20143434000000002,2.4259432,15.209229820000001,1.91425006,0.15343712600548806
UP68,0.0016,10.667,54.92,2023-05-03 14:00:00,39.62,0.000479556,0.000530035,0.000580515,0.000656234,0.000757193,0.000883392,0.00108531,0.001539626,0.00232206,0.002902574,0.003483089,0.004215043,0.004745078,0.005451792,0.006208985,0.007395255,0.008707723,0.010070671,0.011509339,0.013377082,0.01595154,0.019156991,0.023927309,0.030212014,0.03750631,0.044220091,0.049545684,0.054038364,0.060878344,0.066355376,0.070545179,0.072337203,0.06935891,0.06595154,0.055073195,0.045709238,0.035436648,0.028167592,0.021024735,0.015572943,0.01130742,0.008253407,0.006360424,0.006183746,6.56522,0.1653024190857222,0.3173,8.336210719999999,0.162347302528,2.1167075530440003,7.879095270033,0.442618567398,0.2738684482661288
UP69,0.0039,24.375,49.95,2023-05-03 20:00:00,87.1,0.000585534,0.000619977,0.000677382,0.000769231,0.000861079,0.000998852,0.001216992,0.001733639,0.002663605,0.003455798,0.004247991,0.005269805,0.006142365,0.007118255,0.008254879,0.009816303,0.011618829,0.013513203,0.015361653,0.017623421,0.020378875,0.023249139,0.027301952,0.032078071,0.037600459,0.043559127,0.049804822,0.055040184,0.059977038,0.064202067,0.066165327,0.066406429,0.063513203,0.058874856,0.050700344,0.042870264,0.034362801,0.027405281,0.020551091,0.015028703,0.01053961,0.007347876,0.005442021,0.005086108,19.95103333333333,0.2730989992068,0.3559,22.230606,0.43460819999999994,5.736100719375,17.14617532875,0.9349813687499999,0.34127843824439597
UP77,0.0001,0.714,30.57,2023-05-04 20:00:00,25.17,0.000675407,0.000715137,0.000834327,0.000993246,0.001191895,0.001430274,0.001787843,0.002582439,0.004012714,0.005284068,0.006515693,0.008184346,0.009376242,0.010885975,0.012435439,0.01466031,0.017401669,0.020500596,0.023718713,0.027850616,0.033094954,0.038259833,0.044974176,0.051489869,0.057489074,0.062336114,0.066468017,0.067302344,0.066030989,0.063885578,0.057767183,0.053118792,0.044735797,0.037346047,0.028645213,0.021692491,0.015295987,0.009853,0.005244338,0.00246325,0.000913786,0.000278109,7.95e-05,3.97E-05,10.768413333333333,0.2730989992068,0.3399,12.699106666666667,0.018580452701999997,0.264409773768,0.42820142946000006,0.00266653653,0.6567910562108669
UP78,0.0008,5.714,26.82,2023-05-04 23:00:00,22.78,0.000746269,0.000746269,0.000834065,0.000877963,0.001009658,0.001141352,0.001448639,0.002063213,0.003160667,0.003994732,0.004872695,0.006101844,0.006848112,0.008121159,0.009218613,0.010974539,0.013081651,0.015452151,0.017954346,0.021115013,0.025021949,0.029104478,0.034635645,0.040737489,0.047102722,0.053292362,0.059482002,0.062949956,0.06523266,0.066242318,0.064091308,0.062028095,0.055926251,0.049473222,0.040781387,0.033625988,0.026338894,0.020193152,0.013959614,0.009350307,0.005618964,0.003072871,0.00166813,0.001097454,6.138366666666666,0.2730989992068,0.338,7.8931116,0.119397012708,1.631173928654,3.849048732226001,0.11262449420800001,0.4418766620329591
UP82,0.0001,0.667,44.19,2023-05-05 11:00:00,25.61,0.000624756,0.00070285,0.000780945,0.000859039,0.001015228,0.001210465,0.001522843,0.00226474,0.003592347,0.004646622,0.005544709,0.006794221,0.007692308,0.008863725,0.010035143,0.011831316,0.013822725,0.015736041,0.017415072,0.019523624,0.022100742,0.024795002,0.028894963,0.033932058,0.039789145,0.046192893,0.053533776,0.059781335,0.065872706,0.071300273,0.072745021,0.072666927,0.066146037,0.05716517,0.04369387,0.031745412,0.02155408,0.015501757,0.01120656,0.008785631,0.006872316,0.005349473,0.003631394,0.002303788,4.832473333333334,0.1701491848585952,0.3188,6.537635133333334,0.015183950848,0.174237798695,0.45963357993900006,0.016434088938,0.3978882875827895
