Date_Time,u*
3/2/2023 22:30,0.1044
3/2/2023 22:45,0.1094
3/2/2023 23:00,0.1194
3/2/2023 23:15,0.1060
3/2/2023 23:30,0.1111
3/2/2023 23:45,0.1244
3/3/2023 0:00,0.1227
3/3/2023 0:15,0.1277
3/3/2023 0:30,0.1227
3/3/2023 0:45,0.1227
3/3/2023 1:00,0.1178
3/3/2023 1:15,0.1277
3/3/2023 1:30,0.1277
3/3/2023 1:45,0.1277
3/3/2023 2:00,0.1277
3/3/2023 2:15,0.1178
3/3/2023 2:30,0.1277
3/3/2023 2:45,0.1194
3/3/2023 3:00,0.1227
3/3/2023 3:15,0.1194
3/3/2023 3:30,0.1227
3/3/2023 3:45,0.1227
3/3/2023 4:00,0.1194
3/3/2023 4:15,0.1277
3/3/2023 4:30,0.1227
3/3/2023 4:45,0.1277
3/3/2023 5:00,0.1277
3/3/2023 5:15,0.1277
3/3/2023 5:30,0.1227
3/3/2023 5:45,0.1277
3/3/2023 6:00,0.1227
3/3/2023 6:15,0.1277
3/3/2023 6:30,0.1277
3/3/2023 6:45,0.1360
3/3/2023 7:00,0.1360
3/3/2023 7:15,0.1327
3/3/2023 7:30,0.1360
3/3/2023 7:45,0.1360
3/3/2023 8:00,0.1327
3/3/2023 8:15,0.1244
3/3/2023 8:30,0.1294
3/3/2023 8:45,0.1277
3/3/2023 9:00,0.1244
3/3/2023 9:15,0.1161
3/3/2023 9:30,0.1244
3/3/2023 9:45,0.0942
3/3/2023 10:00,0.0993
3/3/2023 10:15,0.0925
3/3/2023 10:30,0.1026
3/3/2023 10:45,0.0925
3/3/2023 11:00,0.1026
3/3/2023 11:15,0.1027
3/3/2023 11:30,0.1026
3/3/2023 11:45,0.0891
3/3/2023 12:00,0.0806
3/3/2023 12:15,0.0891
3/3/2023 12:30,0.0925
3/3/2023 12:45,0.0857
3/3/2023 13:00,0.0857
3/3/2023 13:15,0.0891
3/3/2023 13:30,0.0891
3/3/2023 13:45,0.0925
3/3/2023 14:00,0.0840
3/3/2023 14:15,0.0891
3/3/2023 14:30,0.1010
3/3/2023 14:45,0.1010
3/3/2023 15:00,0.0891
3/3/2023 15:15,0.0874
3/3/2023 15:30,0.0874
3/3/2023 15:45,0.1027
3/3/2023 16:00,0.0976
3/3/2023 16:15,0.0891
3/3/2023 16:30,0.0788
3/3/2023 16:45,0.0857
3/3/2023 17:00,0.0942
3/3/2023 17:15,0.0908
3/3/2023 17:30,0.0942
3/3/2023 17:45,0.0976
3/3/2023 18:00,0.0976
3/3/2023 18:15,0.1111
3/3/2023 18:30,0.0976
3/3/2023 18:45,0.1077
3/3/2023 19:00,0.1061
3/3/2023 19:15,0.1211
3/3/2023 19:30,0.1111
3/3/2023 19:45,0.1111
3/3/2023 20:00,0.1060
3/3/2023 20:15,0.1111
3/3/2023 20:30,0.1060
3/3/2023 20:45,0.1111
3/3/2023 21:00,0.1060
3/3/2023 21:15,0.1111
3/3/2023 21:30,0.1144
3/3/2023 21:45,0.1111
3/3/2023 22:00,0.1060
3/3/2023 22:15,0.1027
3/3/2023 22:30,0.1128
3/3/2023 22:45,0.1044
3/3/2023 23:00,0.1077
3/3/2023 23:15,0.1211
3/3/2023 23:30,0.1161
3/3/2023 23:45,0.1161
3/4/2023 0:00,0.1027
3/4/2023 0:15,0.1077
3/4/2023 0:30,0.1111
3/4/2023 0:45,0.1128
3/4/2023 1:00,0.1111
3/4/2023 1:15,0.1211
3/4/2023 1:30,0.1094
3/4/2023 1:45,0.1127
3/4/2023 2:00,0.1227
3/4/2023 2:15,0.1211
3/4/2023 2:30,0.1178
3/4/2023 2:45,0.1178
3/4/2023 3:00,0.1260
3/4/2023 3:15,0.1260
3/4/2023 3:30,0.1260
3/4/2023 3:45,0.1211
3/4/2023 4:00,0.1177
3/4/2023 4:15,0.1260
3/4/2023 4:30,0.1211
3/4/2023 4:45,0.1161
3/4/2023 5:00,0.1260
3/4/2023 5:15,0.1227
3/4/2023 5:30,0.1260
3/4/2023 5:45,0.1211
3/4/2023 6:00,0.1261
3/4/2023 6:15,0.1261
3/4/2023 6:30,0.1261
3/4/2023 6:45,0.1261
3/4/2023 7:00,0.1211
3/4/2023 7:15,0.1261
3/4/2023 7:30,0.1277
3/4/2023 7:45,0.1178
3/4/2023 8:00,0.1211
3/4/2023 8:15,0.1178
3/4/2023 8:30,0.1178
3/4/2023 8:45,0.1144
3/4/2023 9:00,0.1227
3/4/2023 9:15,0.1144
3/4/2023 9:30,0.1144
3/4/2023 9:45,0.0959
3/4/2023 10:00,0.0823
3/4/2023 10:15,0.1010
3/4/2023 10:30,0.1010
3/4/2023 10:45,0.0925
3/4/2023 11:00,0.1010
3/4/2023 11:15,0.0959
3/4/2023 11:30,0.0874
3/4/2023 11:45,0.0823
3/4/2023 12:00,0.0823
3/4/2023 12:15,0.0840
3/4/2023 12:30,0.0891
3/4/2023 12:45,0.0737
3/4/2023 13:00,0.0840
3/4/2023 13:15,0.0788
3/4/2023 13:30,0.0959
3/4/2023 13:45,0.0925
3/4/2023 14:00,0.0942
3/4/2023 14:15,0.0874
3/4/2023 14:30,0.0925
3/4/2023 14:45,0.0925
3/4/2023 15:00,0.0908
3/4/2023 15:15,0.0840
3/4/2023 15:30,0.0908
3/4/2023 15:45,0.0908
3/4/2023 16:00,0.0925
3/4/2023 16:15,0.0874
3/4/2023 16:30,0.0874
3/4/2023 16:45,0.0959
3/4/2023 17:00,0.0925
3/4/2023 17:15,0.0925
3/4/2023 17:30,0.0874
3/4/2023 17:45,0.1010
3/4/2023 18:00,0.0959
3/4/2023 18:15,0.1010
3/4/2023 18:30,0.1061
3/4/2023 18:45,0.0993
3/4/2023 19:00,0.1094
3/4/2023 19:15,0.1044
3/4/2023 19:30,0.1061
3/4/2023 19:45,0.1010
3/4/2023 20:00,0.1094
3/4/2023 20:15,0.1061
3/4/2023 20:30,0.1010
3/4/2023 20:45,0.1094
3/4/2023 21:00,0.1094
3/4/2023 21:15,0.1094
3/4/2023 21:30,0.1044
3/4/2023 21:45,0.0993
3/4/2023 22:00,0.1010
3/4/2023 22:15,0.0959
3/4/2023 22:30,0.1010
3/4/2023 22:45,0.1060
3/4/2023 23:00,0.1010
3/4/2023 23:15,0.0959
3/4/2023 23:30,0.0993
3/4/2023 23:45,0.0959
3/5/2023 0:00,0.1010
3/5/2023 0:15,0.1010
3/5/2023 0:30,0.1060
3/5/2023 0:45,0.1060
3/5/2023 1:00,0.1010
3/5/2023 1:15,0.1044
3/5/2023 1:30,0.1094
3/5/2023 1:45,0.1111
3/5/2023 2:00,0.1010
3/5/2023 2:15,0.0959
3/5/2023 2:30,0.1111
3/5/2023 2:45,0.1144
3/5/2023 3:00,0.1144
3/5/2023 3:15,0.1144
3/5/2023 3:30,0.1044
3/5/2023 3:45,0.1127
3/5/2023 4:00,0.1177
3/5/2023 4:15,0.1144
3/5/2023 4:30,0.1144
3/5/2023 4:45,0.1177
3/5/2023 5:00,0.1061
3/5/2023 5:15,0.1061
3/5/2023 5:30,0.1127
3/5/2023 5:45,0.1177
3/5/2023 6:00,0.1094
3/5/2023 6:15,0.1044
3/5/2023 6:30,0.1144
3/5/2023 6:45,0.1144
3/5/2023 7:00,0.1194
3/5/2023 7:15,0.1144
3/5/2023 7:30,0.1178
3/5/2023 7:45,0.1194
3/5/2023 8:00,0.1094
3/5/2023 8:15,0.1094
3/5/2023 8:30,0.1060
3/5/2023 8:45,0.1111
3/5/2023 9:00,0.1094
3/5/2023 9:15,0.1027
3/5/2023 9:30,0.1027
3/5/2023 9:45,0.0891
3/5/2023 10:00,0.0891
3/5/2023 10:15,0.0874
3/5/2023 10:30,0.0925
3/5/2023 10:45,0.0993
3/5/2023 11:00,0.0874
3/5/2023 11:15,0.0942
3/5/2023 11:30,0.0925
3/5/2023 11:45,0.0925
3/5/2023 12:00,0.0840
3/5/2023 12:15,0.0874
3/5/2023 12:30,0.0840
3/5/2023 12:45,0.0788
3/5/2023 13:00,0.0891
3/5/2023 13:15,0.0891
3/5/2023 13:30,0.0976
3/5/2023 13:45,0.0942
3/5/2023 14:00,0.0942
3/5/2023 14:15,0.0840
3/5/2023 14:30,0.0840
3/5/2023 14:45,0.0840
3/5/2023 15:00,0.0959
3/5/2023 15:15,0.0874
3/5/2023 15:30,0.0840
3/5/2023 15:45,0.0840
3/5/2023 16:00,0.0959
3/5/2023 16:15,0.0788
3/5/2023 16:30,0.0874
3/5/2023 16:45,0.0959
3/5/2023 17:00,0.0925
3/5/2023 17:15,0.0976
3/5/2023 17:30,0.0925
3/5/2023 17:45,0.0976
3/5/2023 18:00,0.0874
3/5/2023 18:15,0.0891
3/5/2023 18:30,0.0976
3/5/2023 18:45,0.0976
3/5/2023 19:00,0.0976
3/5/2023 19:15,0.0976
3/5/2023 19:30,0.0976
3/5/2023 19:45,0.1010
3/5/2023 20:00,0.1060
3/5/2023 20:15,0.0976
3/5/2023 20:30,0.1060
3/5/2023 20:45,0.0942
3/5/2023 21:00,0.0925
3/5/2023 21:15,0.0925
3/5/2023 21:30,0.1027
3/5/2023 21:45,0.0976
3/5/2023 22:00,0.0942
3/5/2023 22:15,0.0976
3/5/2023 22:30,0.0976
3/5/2023 22:45,0.0925
3/5/2023 23:00,0.0976
3/5/2023 23:15,0.0942
3/5/2023 23:30,0.1027
3/5/2023 23:45,0.0942
3/6/2023 0:00,0.0891
3/6/2023 0:15,0.0942
3/6/2023 0:30,0.0993
3/6/2023 0:45,0.1044
3/6/2023 1:00,0.0993
3/6/2023 1:15,0.0942
3/6/2023 1:30,0.1027
3/6/2023 1:45,0.1027
3/6/2023 2:00,0.0976
3/6/2023 2:15,0.1027
3/6/2023 2:30,0.1027
3/6/2023 2:45,0.0976
3/6/2023 3:00,0.1027
3/6/2023 3:15,0.1027
3/6/2023 3:30,0.0976
3/6/2023 3:45,0.1027
3/6/2023 4:00,0.1077
3/6/2023 4:15,0.1077
3/6/2023 4:30,0.0976
3/6/2023 4:45,0.0976
3/6/2023 5:00,0.1027
3/6/2023 5:15,0.0976
3/6/2023 5:30,0.0942
3/6/2023 5:45,0.1027
3/6/2023 6:00,0.1027
3/6/2023 6:15,0.1044
3/6/2023 6:30,0.0942
3/6/2023 6:45,0.1026
3/6/2023 7:00,0.1026
3/6/2023 7:15,0.0993
3/6/2023 7:30,0.0993
3/6/2023 7:45,0.1027
3/6/2023 8:00,0.0976
3/6/2023 8:15,0.0891
3/6/2023 8:30,0.0908
3/6/2023 8:45,0.0959
3/6/2023 9:00,0.0857
3/6/2023 9:15,0.0908
3/6/2023 9:30,0.0942
3/6/2023 9:45,0.0857
3/6/2023 10:00,0.0806
3/6/2023 10:15,0.0823
3/6/2023 10:30,0.1010
3/6/2023 10:45,0.0823
3/6/2023 11:00,0.0925
3/6/2023 11:15,0.0771
3/6/2023 11:30,0.0823
3/6/2023 11:45,0.0908
3/6/2023 12:00,0.0823
3/6/2023 12:15,0.0806
3/6/2023 12:30,0.0806
3/6/2023 12:45,0.0737
3/6/2023 13:00,0.0823
3/6/2023 13:15,0.0908
3/6/2023 13:30,0.0857
3/6/2023 13:45,0.0857
3/6/2023 14:00,0.0857
3/6/2023 14:15,0.0857
3/6/2023 14:30,0.0891
3/6/2023 14:45,0.0891
3/6/2023 15:00,0.0857
3/6/2023 15:15,0.0959
3/6/2023 15:30,0.0908
3/6/2023 15:45,0.0805
3/6/2023 16:00,0.0908
3/6/2023 16:15,0.0908
3/6/2023 16:30,0.0908
3/6/2023 16:45,0.0857
3/6/2023 17:00,0.0908
3/6/2023 17:15,0.0908
3/6/2023 17:30,0.0754
3/6/2023 17:45,0.0908
3/6/2023 18:00,0.0942
3/6/2023 18:15,0.0959
3/6/2023 18:30,0.0908
3/6/2023 18:45,0.0908
3/6/2023 19:00,0.0959
3/6/2023 19:15,0.0993
3/6/2023 19:30,0.0942
3/6/2023 19:45,0.0942
3/6/2023 20:00,0.0993
3/6/2023 20:15,0.1044
3/6/2023 20:30,0.0993
3/6/2023 20:45,0.0942
3/6/2023 21:00,0.0942
3/6/2023 21:15,0.0942
3/6/2023 21:30,0.1044
3/6/2023 21:45,0.0993
3/6/2023 22:00,0.0993
3/6/2023 22:15,0.0993
3/6/2023 22:30,0.0942
3/6/2023 22:45,0.1044
3/6/2023 23:00,0.0908
3/6/2023 23:15,0.0891
3/6/2023 23:30,0.0993
3/6/2023 23:45,0.1027
3/7/2023 0:00,0.0993
3/7/2023 0:15,0.0942
3/7/2023 0:30,0.1044
3/7/2023 0:45,0.1128
3/7/2023 1:00,0.0993
3/7/2023 1:15,0.0993
3/7/2023 1:30,0.1044
3/7/2023 1:45,0.0993
3/7/2023 2:00,0.0976
3/7/2023 2:15,0.1027
3/7/2023 2:30,0.0976
3/7/2023 2:45,0.1044
3/7/2023 3:00,0.0942
3/7/2023 3:15,0.0942
3/7/2023 3:30,0.0908
3/7/2023 3:45,0.1027
3/7/2023 4:00,0.0976
3/7/2023 4:15,0.0942
3/7/2023 4:30,0.0891
3/7/2023 4:45,0.0857
3/7/2023 5:00,0.0976
3/7/2023 5:15,0.0942
3/7/2023 5:30,0.0891
3/7/2023 5:45,0.0840
3/7/2023 6:00,0.0942
3/7/2023 6:15,0.0942
3/7/2023 6:30,0.0942
3/7/2023 6:45,0.0942
3/7/2023 7:00,0.0976
3/7/2023 7:15,0.0993
3/7/2023 7:30,0.0942
3/7/2023 7:45,0.0993
3/7/2023 8:00,0.0993
3/7/2023 8:15,0.0891
3/7/2023 8:30,0.0959
3/7/2023 8:45,0.0908
3/7/2023 9:00,0.0993
3/7/2023 9:15,0.0959
3/7/2023 9:30,0.0942
3/7/2023 9:45,0.0908
3/7/2023 10:00,0.0908
3/7/2023 10:15,0.0857
3/7/2023 10:30,0.0857
3/7/2023 10:45,0.0857
3/7/2023 11:00,0.0959
3/7/2023 11:15,0.0823
3/7/2023 11:30,0.0823
3/7/2023 11:45,0.0925
3/7/2023 12:00,0.0908
3/7/2023 12:15,0.0857
3/7/2023 12:30,0.0908
3/7/2023 12:45,0.0857
3/7/2023 13:00,0.0857
3/7/2023 13:15,0.0874
3/7/2023 13:30,0.0823
3/7/2023 13:45,0.0874
3/7/2023 14:00,0.0857
3/7/2023 14:15,0.0857
3/7/2023 14:30,0.0908
3/7/2023 14:45,0.0908
3/7/2023 15:00,0.0805
3/7/2023 15:15,0.0857
3/7/2023 15:30,0.0942
3/7/2023 15:45,0.0857
3/7/2023 16:00,0.0840
3/7/2023 16:15,0.0942
3/7/2023 16:30,0.0806
3/7/2023 16:45,0.0823
3/7/2023 17:00,0.0908
3/7/2023 17:15,0.0942
3/7/2023 17:30,0.0993
3/7/2023 17:45,0.0840
3/7/2023 18:00,0.0891
3/7/2023 18:15,0.0942
3/7/2023 18:30,0.0857
3/7/2023 18:45,0.0976
3/7/2023 19:00,0.0942
3/7/2023 19:15,0.0908
3/7/2023 19:30,0.0942
3/7/2023 19:45,0.0942
3/7/2023 20:00,0.0942
3/7/2023 20:15,0.0908
3/7/2023 20:30,0.0857
3/7/2023 20:45,0.0857
3/7/2023 21:00,0.0942
3/7/2023 21:15,0.1010
3/7/2023 21:30,0.0993
3/7/2023 21:45,0.0959
3/7/2023 22:00,0.0942
3/7/2023 22:15,0.0959
3/7/2023 22:30,0.1010
3/7/2023 22:45,0.1010
3/7/2023 23:00,0.1044
3/7/2023 23:15,0.0993
3/7/2023 23:30,0.1044
3/7/2023 23:45,0.0942
3/8/2023 0:00,0.1044
3/8/2023 0:15,0.1010
3/8/2023 0:30,0.0959
3/8/2023 0:45,0.0959
3/8/2023 1:00,0.1010
3/8/2023 1:15,0.0993
3/8/2023 1:30,0.0959
3/8/2023 1:45,0.1077
3/8/2023 2:00,0.1044
3/8/2023 2:15,0.0908
3/8/2023 2:30,0.0993
3/8/2023 2:45,0.0993
3/8/2023 3:00,0.1044
3/8/2023 3:15,0.1094
3/8/2023 3:30,0.0993
3/8/2023 3:45,0.1077
3/8/2023 4:00,0.1144
3/8/2023 4:15,0.0993
3/8/2023 4:30,0.0993
3/8/2023 4:45,0.1044
3/8/2023 5:00,0.1044
3/8/2023 5:15,0.1044
3/8/2023 5:30,0.1094
3/8/2023 5:45,0.1044
3/8/2023 6:00,0.0993
3/8/2023 6:15,0.1128
3/8/2023 6:30,0.1044
3/8/2023 6:45,0.1044
3/8/2023 7:00,0.1077
3/8/2023 7:15,0.1077
3/8/2023 7:30,0.1178
3/8/2023 7:45,0.1077
3/8/2023 8:00,0.1044
3/8/2023 8:15,0.1094
3/8/2023 8:30,0.0959
3/8/2023 8:45,0.0993
3/8/2023 9:00,0.0942
3/8/2023 9:15,0.0993
3/8/2023 9:30,0.0959
3/8/2023 9:45,0.0959
3/8/2023 10:00,0.0925
3/8/2023 10:15,0.0874
3/8/2023 10:30,0.0925
3/8/2023 10:45,0.0822
3/8/2023 11:00,0.0874
3/8/2023 11:15,0.0908
3/8/2023 11:30,0.0908
3/8/2023 11:45,0.0908
3/8/2023 12:00,0.0823
3/8/2023 12:15,0.0874
3/8/2023 12:30,0.0719
3/8/2023 12:45,0.0857
3/8/2023 13:00,0.0908
3/8/2023 13:15,0.0908
3/8/2023 13:30,0.0857
3/8/2023 13:45,0.0942
3/8/2023 14:00,0.0857
3/8/2023 14:15,0.0857
3/8/2023 14:30,0.0908
3/8/2023 14:45,0.0908
3/8/2023 15:00,0.0959
3/8/2023 15:15,0.0908
3/8/2023 15:30,0.0908
3/8/2023 15:45,0.0942
3/8/2023 16:00,0.0942
3/8/2023 16:15,0.0891
3/8/2023 16:30,0.0976
3/8/2023 16:45,0.0942
3/8/2023 17:00,0.0942
3/8/2023 17:15,0.0976
3/8/2023 17:30,0.1027
3/8/2023 17:45,0.1044
3/8/2023 18:00,0.0976
3/8/2023 18:15,0.0993
3/8/2023 18:30,0.0942
3/8/2023 18:45,0.1077
3/8/2023 19:00,0.1077
3/8/2023 19:15,0.1027
3/8/2023 19:30,0.1027
3/8/2023 19:45,0.1077
3/8/2023 20:00,0.1077
3/8/2023 20:15,0.0993
3/8/2023 20:30,0.1044
3/8/2023 20:45,0.1026
3/8/2023 21:00,0.1127
3/8/2023 21:15,0.1026
3/8/2023 21:30,0.1026
3/8/2023 21:45,0.0942
3/8/2023 22:00,0.0993
3/8/2023 22:15,0.0993
3/8/2023 22:30,0.0976
3/8/2023 22:45,0.1026
3/8/2023 23:00,0.0993
3/8/2023 23:15,0.1077
3/8/2023 23:30,0.0976
3/8/2023 23:45,0.1026
3/9/2023 0:00,0.0976
3/9/2023 0:15,0.1077
3/9/2023 0:30,0.1026
3/9/2023 0:45,0.1026
3/9/2023 1:00,0.1044
3/9/2023 1:15,0.1077
3/9/2023 1:30,0.1044
3/9/2023 1:45,0.1044
3/9/2023 2:00,0.0993
3/9/2023 2:15,0.0993
3/9/2023 2:30,0.1128
3/9/2023 2:45,0.1077
3/9/2023 3:00,0.1077
3/9/2023 3:15,0.1161
3/9/2023 3:30,0.1077
3/9/2023 3:45,0.1077
3/9/2023 4:00,0.1077
3/9/2023 4:15,0.1026
3/9/2023 4:30,0.1077
3/9/2023 4:45,0.1077
3/9/2023 5:00,0.1077
3/9/2023 5:15,0.1026
3/9/2023 5:30,0.1077
3/9/2023 5:45,0.1026
3/9/2023 6:00,0.1044
3/9/2023 6:15,0.1077
3/9/2023 6:30,0.1077
3/9/2023 6:45,0.1027
3/9/2023 7:00,0.1077
3/9/2023 7:15,0.1077
3/9/2023 7:30,0.1077
3/9/2023 7:45,0.1077
3/9/2023 8:00,0.1044
3/9/2023 8:15,0.1077
3/9/2023 8:30,0.1027
3/9/2023 8:45,0.0993
3/9/2023 9:00,0.1010
3/9/2023 9:15,0.1010
3/9/2023 9:30,0.1044
3/9/2023 9:45,0.0823
3/9/2023 10:00,0.0908
3/9/2023 10:15,0.0874
3/9/2023 10:30,0.1010
3/9/2023 10:45,0.0925
3/9/2023 11:00,0.0874
3/9/2023 11:15,0.1010
3/9/2023 11:30,0.0959
3/9/2023 11:45,0.0823
3/9/2023 12:00,0.0874
3/9/2023 12:15,0.0874
3/9/2023 12:30,0.0823
3/9/2023 12:45,0.0823
3/9/2023 13:00,0.0874
3/9/2023 13:15,0.0874
3/9/2023 13:30,0.0874
3/9/2023 13:45,0.0822
3/9/2023 14:00,0.0874
3/9/2023 14:15,0.0822
3/9/2023 14:30,0.0925
3/9/2023 14:45,0.0874
3/9/2023 15:00,0.0822
3/9/2023 15:15,0.0925
3/9/2023 15:30,0.0874
3/9/2023 15:45,0.0874
3/9/2023 16:00,0.0874
3/9/2023 16:15,0.0925
3/9/2023 16:30,0.0925
3/9/2023 16:45,0.0925
3/9/2023 17:00,0.0925
3/9/2023 17:15,0.0959
3/9/2023 17:30,0.1044
3/9/2023 17:45,0.0959
3/9/2023 18:00,0.0925
3/9/2023 18:15,0.0959
3/9/2023 18:30,0.1010
3/9/2023 18:45,0.1010
3/9/2023 19:00,0.1010
3/9/2023 19:15,0.1010
3/9/2023 19:30,0.1061
3/9/2023 19:45,0.1010
3/9/2023 20:00,0.1094
3/9/2023 20:15,0.1061
3/9/2023 20:30,0.1010
3/9/2023 20:45,0.1061
3/9/2023 21:00,0.1144
3/9/2023 21:15,0.1061
3/9/2023 21:30,0.1044
3/9/2023 21:45,0.1010
3/9/2023 22:00,0.1060
3/9/2023 22:15,0.1060
3/9/2023 22:30,0.1060
3/9/2023 22:45,0.1060
3/9/2023 23:00,0.1111
3/9/2023 23:15,0.1111
3/9/2023 23:30,0.1026
3/9/2023 23:45,0.1060
3/10/2023 0:00,0.1010
3/10/2023 0:15,0.1010
3/10/2023 0:30,0.1044
3/10/2023 0:45,0.1044
3/10/2023 1:00,0.1061
3/10/2023 1:15,0.1044
3/10/2023 1:30,0.1111
3/10/2023 1:45,0.0959
3/10/2023 2:00,0.1061
